昵称,地区,时间,评论内容,点赞数
卧龙(集装箱),未知地区,2021/9/29 18:17,现在的我们不知道账号在不在你的手里，我们需要不需要让粉丝们停止对橱窗里面的货物停止采购，你说句话，我们一起来抵制资本，我们永远支持你，,14
秀宝儿👉在🇸🇬,未知地区,2022/4/16 9:13,2022年4约16日，还有人在等更新吗？[泣不成声],13
ㅤ   ㅤ   ㅤ,未知地区,2022/4/22 11:58,那个李子柒螺蛳粉是她的？[困],13
(˵¯͒〰¯͒˵)念卿io@🌗: ـ٨,未知地区,2022/4/30 17:58,2022年5月1，还有人在等更新吗？,13
鑫鑫念念,未知地区,2021/9/19 23:46,李子柒应该是唯一一个被高中试卷当素材的一个网红了吧[泣不成声][泣不成声],13
巨大的大巨,未知地区,2022/4/22 11:55,螺蛳粉真的很难吃[尬笑][尬笑][尬笑],13
🌈幸运💕常伴👑,未知地区,2022/4/30 22:44,2022年4月30号，还有人等更新吗？,13
爱视昂芯片眼镜总部招商,未知地区,2021/9/29 21:19,我们只喜欢李子柒这个人，这个账号不要我们立刻取关，她说一句话换抖音号，我们粉丝立刻关注。,13
想黎夏.,未知地区,2024/7/26 23:10,从营销号那过来的，姐姐什么时候回来呀[眼含热泪][眼含热泪],13
汉高祖and灿,未知地区,2024/8/26 21:35,2024.8报道,12
跳跳糖,未知地区,2024/11/21 21:32,我是来看消失前的最后一个视频的,12
好运降林,未知地区,2024/12/17 19:34,我从2024年12月17日来的[666],8
威.,未知地区,2024/12/12 11:47,为什么她的农村这么美好，我们的农村一地鸡毛[捂脸],4
大美丹霞,未知地区,2024/12/10 22:09,李子柒火的原因很简单，她一直以其独特的视频风格和深厚的文化底蕴，展现了中国传统文化的美，温暖人心，传递正能量[玫瑰][玫瑰][玫瑰][666][666],4
小猜哥,未知地区,2024/12/15 23:48,打败她的只有 李佳佳[捂脸]哈哈哈,2
油炸冰淇淋🍦,未知地区,2024/12/19 9:10,来了 连更3条 终于等到你回来,2
