昵称,地区,时间,评论内容,点赞数
岁岁平安，顺水顺风,山西,2024/11/13 15:42,这首曲子是什么来的[比心]好熟悉,24
金其甄选超市,江西,2024/11/13 15:45,一条视频拍摄的时间长达几个月，这些素材的积累保存，剪辑时一条视频两百六十多个镜头。子柒你是怎么做到的这么大的工作量。后期剪辑这几百个镜头结合在一起的工作是一项难度极高的事情。全网唯一[赞][赞][赞],24
鸿建书法,天津,2024/11/14 19:39,写完收工喜欢拿走,24
郝💪（恩照）,陕西,2024/11/13 21:06,我想知道她唯一关注的人是谁？,24
国国啊（生活日常）,广东,2024/11/13 18:34,谁懂，她一开口就泪目的感觉吗？好像在诉说这一切都如愿[流泪][流泪][流泪],24
永不褪色的青春,安徽,2024/11/13 14:46,不懂就问，桑叶摘回家能直接喂蚕宝宝吗？不能吧？是不是要杀菌消毒处理,23
诗酒趁年华²⁸︍︉︍︍⁹³,新加坡,2024/11/15 10:04,李子柒我是你海外的粉丝，能看到吗,23
要多乐吖,河南,2024/11/13 17:01,偏个楼，请问蚕茧的丝被抽了之后，蚕还能活么？,23
宫崎骏的夏天,湖南,2024/11/13 16:25,这是几年前的那个李子柒吗？,23
悄咪咪,云南,2024/11/17 2:00,784.3w了 才被我看到 [流泪],22
哇哒西蛙,安徽,2024/11/13 16:40,我记得李子柒是个好吃的，叫啥我忘了,22
天云星辰,陕西,2024/11/13 16:47,我比较好奇，蝉蛹被抽完丝，那蝉还活着吗？,22
fashion..Txt,四川,2024/11/14 1:05,李子柒退出后，有很多模仿她的，但是总感觉缺点什么…今天看了李子柒，终于知道了，模仿者缺少李子柒的一种，宁静美！,22
一字2,湖南,2024/11/29 21:51,感谢柒姐姐，我们全校背你的议论文素材[微笑][左上],22
小妮子～,浙江,2024/11/13 21:32,一天涨粉400万，除了李子柒还有谁能做到[赞][赞][赞],22
蜂蜜柚子,四川,2024/11/13 19:53,她是蜀锦非遗的宣传人，是不是啊，我记得之前新闻提过,21
双禾（花丝镶嵌）,湖南,2024/11/14 23:21,姐姐，下次做花丝，也是非遗项目，超超超喜欢你,21
花儿那么美🥰,四川,2024/11/13 15:48,最后李子柒[害羞]唱的歌叫什么名字呀？,20
贺*杰,河南,2024/12/18 9:15,通房大丫头喊你了[呲牙],20
一只小可爱的日常,河南,2024/11/13 13:59,现在48万 你们多少赞看的,20
刘赢-零食蛮多,湖南,2024/11/13 18:07,我还在为她打工，给她卖粉[流泪],20
倩倩 ｀💋💋,湖北,2024/11/13 18:50,她昨天是只有4000多万的粉丝吗？还是我看错了，今天就5000多万了[尬笑],20
Mr.H,湖南,2024/12/18 9:41,我是从雷探长的妇道过来的  哈哈[灵机一动],20
木鱼论影,山东,2024/11/13 13:05,11.9万，现在是不是一百万了[看],19
用户3155935178947,江苏,2024/12/15 10:30,我是什么山顶洞人 1040.9w才刷到[捂脸],19
常州金大生@燕子,江苏,2024/11/13 23:42,我好奇的是，她怎么知道那么多，会做的那么多，好像不是我们这个时代的人[捂脸][捂脸],19
正金秋,河北,2024/11/13 14:21,一个半小时什么概念……钱真的不好挣啊,19
阿铁爱补钙～,江苏,2024/11/13 17:24,不知道是不是先入为主的原因 别人拍的田园视频就是没有李子柒的这种味道～[吐舌],19
静水留痕,江苏,2024/11/13 19:18,朝起采桑夜织纱，一片闲云一人家。月饮轻风山饮雨，泥炉微熏不夜侯。碧夜山岚霏烟起，促织半醒唤贪狼。北斗夏指茉莉开，金乌照苔露凝丹。流金铺妆千川外，万般灵秀拜日光。月轮淡隐东北望，漫天鳞云染长虹。,18
青青,河北,2024/12/12 21:37,现在还有人刷到我关注你[捂脸],18
紧丿紧,浙江,2024/12/17 18:57,这几天有个通房皈依者疯狂@你,18
🔱     点艺•融合点心研学室,湖南,2024/11/14 17:26,请大家吃点心[看][看],18
蔓蔓买买酱💪,广东,2024/11/13 21:52,不是，你到底有啥不会呀，一对比我感觉我跟个废物一样[捂脸],18
成暖,黑龙江,2024/11/13 21:57,7年的时间 好久了呢,18
Mr. He,新疆,2024/11/13 14:41,李子柒  唱的歌  叫什么名字[抱拳][抱拳][抱拳],17
RikeSS,广东,2024/12/18 10:23,姐，有人乱艾特你[流泪]你要注意一下了,16
哦嚯,天津,2024/11/13 15:58,李子柒是干什么的？我还真不知道   明白人麻烦告诉一下  谢谢,16
Teg,山东,2024/11/14 6:31,这才是抖音存在的意义，了解非遗认识先烈，而不是所谓的一二三上链接,16
滇东北的那位哥,广东,2024/11/13 17:42,她的视频为什么那么清晰  好多大明星发的模糊,16
谁还不是个宝宝คิดถึง,江苏,2024/11/13 16:10,还是李子柒，别人做怎么都没有这个感觉,15
🌟🇨🇳神笔镇乾坤🇨🇳🌟,江苏,2024/11/13 16:09,"李 家蝴蝶百花香
子 母桑蚕到丝纺
柒 妹巧手剪绒秀
美 女伴母雪飞扬[赞]",15
嘻嘻,重庆,2024/12/21 15:34,[尬笑],6
真的服了,四川,2024/12/21 1:17,姐 一个多月了 该更新啦,6
豪哥,广东,2024/12/21 13:51,柒柒 今日冬至了，更新吧,4
莫失莫忘,四川,2024/12/21 12:32,姐，今天冬至，不考虑更新吗,4
刘巧儿,河南,2024/12/21 7:56,等了一个多月了，该更新了[玫瑰][玫瑰][玫瑰],4
中二晚期。,四川,2024/12/21 16:36,为什么又断更了？？？？,3
微词,安徽,2024/12/21 15:57,我能催更嘛子柒，复出的欣喜后给冷却这么久，就像得到了又没完全得到[眼含热泪][眼含热泪][眼含热泪],3
睡了但没完全睡,湖南,2024/12/21 10:47,我以为要用蚕丝做衣服，结果就做了几朵簪花,3
博弈手-颜,江苏,2024/12/21 11:48,姐姐你被写进英语阅读理解啦,3
杨大朵儿🌼,黑龙江,2024/12/21 9:27,都一个多月了咋还不更新啊,3
小雪花,湖北,2024/12/21 15:27,我第一次看见超过1000w赞的作品,2
一笑倾城！〈74年的🐯〉,江西,2024/12/21 6:18,这么多赞，有这么好看么,2
Helen,福建,2024/12/21 16:39,柒柒如果去拍一部古装剧，绝对绝美[比心],2
耳趴趴的芭蕾,贵州,2024/12/21 15:10,子柒她代表了中国女性最优秀的一面，而这一面是最朴实，最纯粹，最自然的一面…,2
冷暖自知,江苏,2024/12/21 14:48,知道她的螺狮粉[大笑][大笑][大笑],1
小倩倩了呀,重庆,2024/12/21 9:53,新来的，礼貌问，李子柒的视频会不会中途瓜子二手车或者转转或者牵手[捂脸],1
世一天（峨眉宗师）,江苏,2024/12/21 15:03,我累个1000多万赞,1
天才也幼稚,广东,2024/12/21 11:22,真正的蚕丝被要多少钱，几万块可以了吗,1
该干嘛干嘛！,浙江,2024/12/21 11:30,看到这个时候我以为是鱼漂呢。[捂脸],1
我相信,北京,2024/12/21 15:37,姐姐的视频把我看哭了，深深被姐姐的匠心与勇敢打动，这份力量也激励着我前行。[流泪][流泪]姐姐小小的个子拥有大大的力量，好像生活中没有什么难题可以难倒你，总是有很多的工具，好像你的双手总能给我们很多意想不到的惊喜。以后还会一如既往地支持着姐姐！[赞][赞][赞],1
甜城姑娘（猪宝宝）,湖北,2024/12/21 14:51,李子柒天下奇女子一枚[比心],1
锦霖✨宸✨,海南,2024/12/21 6:52,子柒，你说这不是你唱的，你快说，不然我破防了 [震惊]  [震惊]  [震惊]  [震惊]  [震惊]  [震惊]  [震惊]  [震惊]  [震惊],1
ᴵⁱⁿ-早點睡💤,江苏,2024/12/21 13:26,钢琴是不是也是手工做出来的,1
平凡的萍,广东,2024/12/21 12:31,冬至了还不更新[捂脸][捂脸],1
李泓兴,广东,2024/12/21 14:30,全是后期团。,1
思香,湖南,2024/12/21 16:56,听了无数遍的歌，唯你把我唱哭了[捂脸],0
如来心,四川,2024/12/21 17:03,你从未曾离开，一直都在[比心][比心][比心]谢谢精美视频,0
山东泓联特种纸科技有限公司,河北,2024/12/21 16:46,看着你的视频觉得很心安，放下了一切的浮躁,0
马队长,江苏,2024/12/21 16:34,原来真的有仙女下凡这一说~,0
A person's journey,山西,2024/12/21 16:58,怎么停更了,0
江儿,云南,2024/12/21 17:11,什么时候又更新,0
@慧呀',贵州,2024/12/21 12:54,这个酸辣粉好吃[呲牙],0
🍀鑫林🍀,河北,2024/12/21 16:17,怎么又没有了,0
双河镇金凤凰婚纱摄影,湖北,2024/12/21 14:32,又停更？,0
舒涵小姐姐,广东,2024/12/21 12:47,拍这个视频需要多人？,0
留星岛li,河南,2024/12/21 12:35,看着会了[偷笑],0
🌈众所周知,安徽,2024/12/21 14:25,又停更了,0
半渡,四川,2024/12/21 1:38,什么时候更新啊！,0
柠小檬檬檬,贵州,2024/12/21 9:48,一个多月了，为什么还不更新[流泪][流泪],0
擒贼先擒     王先生,广东,2024/12/21 14:04,看着视频吃着饭[看],0
黎梨,广东,2024/12/21 15:12,咋又不更新了？,0
橘色系～,上海,2024/12/21 15:22,怎么没视频了[尬笑],0
小胖快跑🐯,河南,2024/12/21 7:19,什么时候更新啊,0
KiKi⁸,江苏,2024/12/21 14:38,姐姐，怎么不更新了,0
